#,Name,Type 1;Type 2,HP,Attack,Defense,Generation
1,Bulbasaur,Grass;Poison,45,49,49,1
470,Leafeon,Grass;,65,110,130,4
140,Kabuto,Rock;Water,30,80,90,1
2,Ivysaur,Grass;Poison,60,62,63,1
3,Venusaur,Grass;Poison,80,82,83,1
4,Charmander,Fire;,39,52,43,1
5,Charmeleon,Fire;,58,64,58,1
6,Charizard,Fire;Flying,78,84,78,1
462,Magnezone,Electric;Steel,70,70,115,4
7,Squirtle,Water;,44,48,65,1
241,Miltank,Normal;,95,80,105,2
519,Pidove,Normal;Flying,50,55,50,5
302,Sableye,Dark;Ghost,50,75,75,3
389,Torterra,Grass;Ground,95,109,105,4
570,Zorua,Dark;,40,65,40,5
8,Wartortle,Water;,59,63,80,1
46,Paras,Bug;Grass,35,70,55,1
9,Blastoise,Water;,79,83,100,1
10,Caterpie,Bug;,45,30,35,1
555,DarmanitanZen Mode,Fire;Psychic,105,30,105,5
11,Metapod,Bug;,50,20,55,1
12,Butterfree,Bug;Flying,60,45,50,1
41,Zubat,Poison;Flying,40,45,35,1
13,Weedle,Bug;Poison,40,35,30,1
14,Kakuna,Bug;Poison,45,25,50,1
15,Beedrill,Bug;Poison,65,90,40,1
384,Rayquaza,Dragon;Flying,105,150,90,3
394,Prinplup,Water;,64,66,68,4
548,Petilil,Grass;,45,35,50,5
16,Pidgey,Normal;Flying,40,45,40,1
17,Pidgeotto,Normal;Flying,63,60,55,1
431,Glameow,Normal;,49,55,42,4
174,Igglybuff,Normal;Fairy,90,30,15,2
18,Pidgeot,Normal;Flying,83,80,75,1
371,Bagon,Dragon;,45,75,60,3
279,Pelipper,Water;Flying,60,50,100,3
440,Happiny,Normal;,100,5,5,4
19,Rattata,Normal;,30,56,35,1
370,Luvdisc,Water;,43,30,55,3
20,Raticate,Normal;,55,81,60,1
21,Spearow,Normal;Flying,40,60,30,1
22,Fearow,Normal;Flying,65,90,65,1
23,Ekans,Poison;,35,60,44,1
404,Luxio,Electric;,60,85,49,4
548,Petilil,Grass;,45,35,50,5
24,Arbok,Poison;,60,85,69,1
25,Pikachu,Electric;,35,55,40,1
26,Raichu,Electric;,60,90,55,1
27,Sandshrew,Ground;,50,75,85,1
28,Sandslash,Ground;,75,100,110,1
29,Nidoran♀,Poison;,55,47,52,1
30,Nidorina,Poison;,70,62,67,1
296,Makuhita,Fighting;,72,60,30,3
157,Typhlosion,Fire;,78,84,78,2
31,Nidoqueen,Poison;Ground,90,92,87,1
32,Nidoran♂,Poison;,46,57,40,1
33,Nidorino,Poison;,61,72,57,1
34,Nidoking,Poison;Ground,81,102,77,1
416,Vespiquen,Bug;Flying,70,80,102,4
35,Clefairy,Fairy;,70,45,48,1
36,Clefable,Fairy;,95,70,73,1
37,Vulpix,Fire;,38,41,40,1
38,Ninetales,Fire;,73,76,75,1
373,Salamence,Dragon;Flying,95,135,80,3
370,Luvdisc,Water;,43,30,55,3
39,Jigglypuff,Normal;Fairy,115,45,20,1
40,Wigglytuff,Normal;Fairy,140,70,45,1
41,Zubat,Poison;Flying,40,45,35,1
42,Golbat,Poison;Flying,75,80,70,1
43,Oddish,Grass;Poison,45,50,55,1
44,Gloom,Grass;Poison,60,65,70,1
45,Vileplume,Grass;Poison,75,80,85,1
46,Paras,Bug;Grass,35,70,55,1
237,Hitmontop,Fighting;,50,95,95,2
47,Parasect,Bug;Grass,60,95,80,1
48,Venonat,Bug;Poison,60,55,50,1
49,Venomoth,Bug;Poison,70,65,60,1
94,Gengar,Ghost;Poison,60,65,60,1
285,Shroomish,Grass;,60,40,60,3
50,Diglett,Ground;,10,55,25,1
234,Stantler,Normal;,73,95,62,2
51,Dugtrio,Ground;,35,80,50,1
52,Meowth,Normal;,40,45,35,1
316,Gulpin,Poison;,70,43,53,3
53,Persian,Normal;,65,70,60,1
54,Psyduck,Water;,50,52,48,1
55,Golduck,Water;,80,82,78,1
56,Mankey,Fighting;,40,80,35,1
183,Marill,Water;Fairy,70,20,50,2
173,Cleffa,Fairy;,50,25,28,2
57,Primeape,Fighting;,65,105,60,1
113,Chansey,Normal;,250,5,5,1
133,Eevee,Normal;,55,55,50,1
58,Growlithe,Fire;,55,70,45,1
59,Arcanine,Fire;,90,110,80,1
26,Raichu,Electric;,60,90,55,1
60,Poliwag,Water;,40,50,40,1
61,Poliwhirl,Water;,65,65,65,1
62,Poliwrath,Water;Fighting,90,95,95,1
63,Abra,Psychic;,25,20,15,1
395,Empoleon,Water;Steel,84,86,88,4
390,Chimchar,Fire;,44,58,44,4
64,Kadabra,Psychic;,40,35,30,1
400,Bibarel,Normal;Water,79,85,60,4
65,Alakazam,Psychic;,55,50,45,1
555,DarmanitanZen Mode,Fire;Psychic,105,30,105,5
66,Machop,Fighting;,70,80,50,1
67,Machoke,Fighting;,80,100,70,1
158,Totodile,Water;,50,65,64,2
68,Machamp,Fighting;,90,130,80,1
69,Bellsprout,Grass;Poison,50,75,35,1
316,Gulpin,Poison;,70,43,53,3
70,Weepinbell,Grass;Poison,65,90,50,1
71,Victreebel,Grass;Poison,80,105,65,1
102,Exeggcute,Grass;Psychic,60,40,80,1
72,Tentacool,Water;Poison,40,40,35,1
78,Rapidash,Fire;,65,100,70,1
73,Tentacruel,Water;Poison,80,70,65,1
36,Clefable,Fairy;,95,70,73,1
74,Geodude,Rock;Ground,40,80,100,1
75,Graveler,Rock;Ground,55,95,115,1
76,Golem,Rock;Ground,80,120,130,1
77,Ponyta,Fire;,50,85,55,1
326,Grumpig,Psychic;,80,45,65,3
78,Rapidash,Fire;,65,100,70,1
79,Slowpoke,Water;Psychic,90,65,65,1
80,Slowbro,Water;Psychic,95,75,110,1
81,Magnemite,Electric;Steel,25,35,70,1
111,Rhyhorn,Ground;Rock,80,85,95,1
82,Magneton,Electric;Steel,50,60,95,1
83,Farfetch'd,Normal;Flying,52,65,55,1
84,Doduo,Normal;Flying,35,85,45,1
85,Dodrio,Normal;Flying,60,110,70,1
36,Clefable,Fairy;,95,70,73,1
86,Seel,Water;,65,45,55,1
87,Dewgong,Water;Ice,90,70,80,1
88,Grimer,Poison;,80,80,50,1
89,Muk,Poison;,105,105,75,1
90,Shellder,Water;,30,65,100,1
91,Cloyster,Water;Ice,50,95,180,1
92,Gastly,Ghost;Poison,30,35,30,1
570,Zorua,Dark;,40,65,40,5
93,Haunter,Ghost;Poison,45,50,45,1
390,Chimchar,Fire;,44,58,44,4
217,Ursaring,Normal;,90,130,75,2
94,Gengar,Ghost;Poison,60,65,60,1
95,Onix,Rock;Ground,35,45,160,1
96,Drowzee,Psychic;,60,48,45,1
107,Hitmonchan,Fighting;,50,105,79,1
97,Hypno,Psychic;,85,73,70,1
494,Victini,Psychic;Fire,100,100,100,5
98,Krabby,Water;,30,105,90,1
86,Seel,Water;,65,45,55,1
333,Swablu,Normal;Flying,45,40,60,3
301,Delcatty,Normal;,70,65,65,3
99,Kingler,Water;,55,130,115,1
255,Torchic,Fire;,45,60,40,3
357,Tropius,Grass;Flying,99,68,83,3
100,Voltorb,Electric;,40,30,50,1
11,Metapod,Bug;,50,20,55,1
468,Togekiss,Fairy;Flying,85,50,95,4
553,Krookodile,Ground;Dark,95,117,80,5
101,Electrode,Electric;,60,50,70,1
102,Exeggcute,Grass;Psychic,60,40,80,1
103,Exeggutor,Grass;Psychic,95,95,85,1
104,Cubone,Ground;,50,50,95,1
105,Marowak,Ground;,60,80,110,1
106,Hitmonlee,Fighting;,50,120,53,1
145,Zapdos,Electric;Flying,90,90,85,1
208,Steelix,Steel;Ground,75,85,200,2
107,Hitmonchan,Fighting;,50,105,79,1
484,Palkia,Water;Dragon,90,120,100,4
108,Lickitung,Normal;,90,55,75,1
109,Koffing,Poison;,40,65,95,1
110,Weezing,Poison;,65,90,120,1
111,Rhyhorn,Ground;Rock,80,85,95,1
112,Rhydon,Ground;Rock,105,130,120,1
113,Chansey,Normal;,250,5,5,1
53,Persian,Normal;,65,70,60,1
114,Tangela,Grass;,65,55,115,1
177,Natu,Psychic;Flying,40,50,45,2
115,Kangaskhan,Normal;,105,95,80,1
116,Horsea,Water;,30,40,70,1
117,Seadra,Water;,55,65,95,1
118,Goldeen,Water;,45,67,60,1
119,Seaking,Water;,80,92,65,1
177,Natu,Psychic;Flying,40,50,45,2
120,Staryu,Water;,30,45,55,1
121,Starmie,Water;Psychic,60,75,85,1
122,Mr. Mime,Psychic;Fairy,40,45,65,1
520,Tranquill,Normal;Flying,62,77,62,5
123,Scyther,Bug;Flying,70,110,80,1
175,Togepi,Fairy;,35,20,65,2
124,Jynx,Ice;Psychic,65,50,35,1
125,Electabuzz,Electric;,65,83,57,1
126,Magmar,Fire;,65,95,57,1
449,Hippopotas,Ground;,68,72,78,4
446,Munchlax,Normal;,135,85,40,4
127,Pinsir,Bug;,65,125,100,1
476,Probopass,Rock;Steel,60,55,145,4
128,Tauros,Normal;,75,100,95,1
129,Magikarp,Water;,20,10,55,1
130,Gyarados,Water;Flying,95,125,79,1
131,Lapras,Water;Ice,130,85,80,1
498,Tepig,Fire;,65,63,45,5
132,Ditto,Normal;,48,48,48,1
133,Eevee,Normal;,55,55,50,1
317,Swalot,Poison;,100,73,83,3
134,Vaporeon,Water;,130,65,60,1
135,Jolteon,Electric;,65,65,60,1
136,Flareon,Fire;,65,130,60,1
137,Porygon,Normal;,65,60,70,1
138,Omanyte,Rock;Water,35,40,100,1
139,Omastar,Rock;Water,70,60,125,1
409,Rampardos,Rock;,97,165,60,4
140,Kabuto,Rock;Water,30,80,90,1
396,Starly,Normal;Flying,40,55,30,4
141,Kabutops,Rock;Water,60,115,105,1
142,Aerodactyl,Rock;Flying,80,105,65,1
143,Snorlax,Normal;,160,110,65,1
7,Squirtle,Water;,44,48,65,1
144,Articuno,Ice;Flying,90,85,100,1
16,Pidgey,Normal;Flying,40,45,40,1
104,Cubone,Ground;,50,50,95,1
178,Xatu,Psychic;Flying,65,75,70,2
145,Zapdos,Electric;Flying,90,90,85,1
146,Moltres,Fire;Flying,90,100,90,1
147,Dratini,Dragon;,41,64,45,1
148,Dragonair,Dragon;,61,84,65,1
149,Dragonite,Dragon;Flying,91,134,95,1
232,Donphan,Ground;,90,120,120,2
150,Mewtwo,Psychic;,106,110,90,1
404,Luxio,Electric;,60,85,49,4
347,Anorith,Rock;Bug,45,95,50,3
151,Mew,Psychic;,100,100,100,1
152,Chikorita,Grass;,45,49,65,2
478,Froslass,Ice;Ghost,70,80,70,4
153,Bayleef,Grass;,60,62,80,2
154,Meganium,Grass;,80,82,100,2
319,Sharpedo,Water;Dark,70,120,40,3
155,Cyndaquil,Fire;,39,52,43,2
156,Quilava,Fire;,58,64,58,2
157,Typhlosion,Fire;,78,84,78,2
158,Totodile,Water;,50,65,64,2
159,Croconaw,Water;,65,80,80,2
160,Feraligatr,Water;,85,105,100,2
429,Mismagius,Ghost;,60,60,60,4
161,Sentret,Normal;,35,46,34,2
162,Furret,Normal;,85,76,64,2
163,Hoothoot,Normal;Flying,60,30,30,2
164,Noctowl,Normal;Flying,100,50,50,2
165,Ledyba,Bug;Flying,40,20,30,2
166,Ledian,Bug;Flying,55,35,50,2
167,Spinarak,Bug;Poison,40,60,40,2
168,Ariados,Bug;Poison,70,90,70,2
169,Crobat,Poison;Flying,85,90,80,2
224,Octillery,Water;,75,105,75,2
2,Ivysaur,Grass;Poison,60,62,63,1
170,Chinchou,Water;Electric,75,38,38,2
171,Lanturn,Water;Electric,125,58,58,2
172,Pichu,Electric;,20,40,15,2
464,Rhyperior,Ground;Rock,115,140,130,4
173,Cleffa,Fairy;,50,25,28,2
327,Spinda,Normal;,60,60,60,3
174,Igglybuff,Normal;Fairy,90,30,15,2
175,Togepi,Fairy;,35,20,65,2
176,Togetic,Fairy;Flying,55,40,85,2
111,Rhyhorn,Ground;Rock,80,85,95,1
428,Lopunny,Normal;,65,76,84,4
177,Natu,Psychic;Flying,40,50,45,2
178,Xatu,Psychic;Flying,65,75,70,2
179,Mareep,Electric;,55,40,40,2
205,Forretress,Bug;Steel,75,90,140,2
180,Flaaffy,Electric;,70,55,55,2
181,Ampharos,Electric;,90,75,85,2
182,Bellossom,Grass;,75,80,95,2
183,Marill,Water;Fairy,70,20,50,2
486,Regigigas,Normal;,110,160,110,4
184,Azumarill,Water;Fairy,100,50,80,2
185,Sudowoodo,Rock;,70,100,115,2
186,Politoed,Water;,90,75,75,2
187,Hoppip,Grass;Flying,35,35,40,2
188,Skiploom,Grass;Flying,55,45,50,2
189,Jumpluff,Grass;Flying,75,55,70,2
190,Aipom,Normal;,55,70,55,2
191,Sunkern,Grass;,30,30,30,2
192,Sunflora,Grass;,75,75,55,2
193,Yanma,Bug;Flying,65,65,45,2
194,Wooper,Water;Ground,55,45,45,2
467,Magmortar,Fire;,75,95,67,4
195,Quagsire,Water;Ground,95,85,85,2
260,Swampert,Water;Ground,100,110,90,3
196,Espeon,Psychic;,65,65,60,2
197,Umbreon,Dark;,95,65,110,2
198,Murkrow,Dark;Flying,60,85,42,2
199,Slowking,Water;Psychic,95,75,80,2
200,Misdreavus,Ghost;,60,60,60,2
357,Tropius,Grass;Flying,99,68,83,3
201,Unown,Psychic;,48,72,48,2
202,Wobbuffet,Psychic;,190,33,58,2
383,Groudon,Ground;,100,150,140,3
203,Girafarig,Normal;Psychic,70,80,65,2
266,Silcoon,Bug;,50,35,55,3
204,Pineco,Bug;,50,65,90,2
205,Forretress,Bug;Steel,75,90,140,2
260,Swampert,Water;Ground,100,110,90,3
206,Dunsparce,Normal;,100,70,70,2
364,Sealeo,Ice;Water,90,60,70,3
148,Dragonair,Dragon;,61,84,65,1
207,Gligar,Ground;Flying,65,75,105,2
208,Steelix,Steel;Ground,75,85,200,2
209,Snubbull,Fairy;,60,80,50,2
210,Granbull,Fairy;,90,120,75,2
90,Shellder,Water;,30,65,100,1
211,Qwilfish,Water;Poison,65,95,75,2
212,Scizor,Bug;Steel,70,130,100,2
213,Shuckle,Bug;Rock,20,10,230,2
214,Heracross,Bug;Fighting,80,125,75,2
198,Murkrow,Dark;Flying,60,85,42,2
215,Sneasel,Dark;Ice,55,95,55,2
216,Teddiursa,Normal;,60,80,50,2
217,Ursaring,Normal;,90,130,75,2
218,Slugma,Fire;,40,40,40,2
219,Magcargo,Fire;Rock,50,50,120,2
327,Spinda,Normal;,60,60,60,3
220,Swinub,Ice;Ground,50,50,40,2
253,Grovyle,Grass;,50,65,45,3
221,Piloswine,Ice;Ground,100,100,80,2
221,Piloswine,Ice;Ground,100,100,80,2
404,Luxio,Electric;,60,85,49,4
222,Corsola,Water;Rock,55,55,85,2
223,Remoraid,Water;,35,65,35,2
455,Carnivine,Grass;,74,100,72,4
224,Octillery,Water;,75,105,75,2
224,Octillery,Water;,75,105,75,2
306,Aggron,Steel;Rock,70,110,180,3
225,Delibird,Ice;Flying,45,55,45,2
226,Mantine,Water;Flying,65,40,70,2
227,Skarmory,Steel;Flying,65,80,140,2
228,Houndour,Dark;Fire,45,60,30,2
229,Houndoom,Dark;Fire,75,90,50,2
230,Kingdra,Water;Dragon,75,95,95,2
231,Phanpy,Ground;,90,60,60,2
232,Donphan,Ground;,90,120,120,2
230,Kingdra,Water;Dragon,75,95,95,2
233,Porygon2,Normal;,85,80,90,2
234,Stantler,Normal;,73,95,62,2
235,Smeargle,Normal;,55,20,35,2
236,Tyrogue,Fighting;,35,35,35,2
237,Hitmontop,Fighting;,50,95,95,2
238,Smoochum,Ice;Psychic,45,30,15,2
538,Throh,Fighting;,120,100,85,5
239,Elekid,Electric;,45,63,37,2
240,Magby,Fire;,45,75,37,2
36,Clefable,Fairy;,95,70,73,1
412,Burmy,Bug;,40,29,45,4
241,Miltank,Normal;,95,80,105,2
242,Blissey,Normal;,255,10,10,2
243,Raikou,Electric;,90,85,75,2
23,Ekans,Poison;,35,60,44,1
497,Serperior,Grass;,75,75,95,5
244,Entei,Fire;,115,115,85,2
245,Suicune,Water;,100,75,115,2
246,Larvitar,Rock;Ground,50,64,50,2
247,Pupitar,Rock;Ground,70,84,70,2
248,Tyranitar,Rock;Dark,100,134,110,2
249,Lugia,Psychic;Flying,106,90,130,2
250,Ho-oh,Fire;Flying,106,130,90,2
251,Celebi,Psychic;Grass,100,100,100,2
252,Treecko,Grass;,40,45,35,3
253,Grovyle,Grass;,50,65,45,3
147,Dratini,Dragon;,41,64,45,1
81,Magnemite,Electric;Steel,25,35,70,1
254,Sceptile,Grass;,70,85,65,3
485,Heatran,Fire;Steel,91,90,106,4
280,Ralts,Psychic;Fairy,28,25,25,3
290,Nincada,Bug;Ground,31,45,90,3
255,Torchic,Fire;,45,60,40,3
256,Combusken,Fire;Fighting,60,85,60,3
257,Blaziken,Fire;Fighting,80,120,70,3
258,Mudkip,Water;,50,70,50,3
259,Marshtomp,Water;Ground,70,85,70,3
377,Regirock,Rock;,80,100,200,3
260,Swampert,Water;Ground,100,110,90,3
476,Probopass,Rock;Steel,60,55,145,4
261,Poochyena,Dark;,35,55,35,3
262,Mightyena,Dark;,70,90,70,3
263,Zigzagoon,Normal;,38,30,41,3
264,Linoone,Normal;,78,70,61,3
524,Roggenrola,Rock;,55,75,85,5
265,Wurmple,Bug;,45,45,35,3
345,Lileep,Rock;Grass,66,41,77,3
473,Mamoswine,Ice;Ground,110,130,80,4
266,Silcoon,Bug;,50,35,55,3
307,Meditite,Fighting;Psychic,30,40,55,3
267,Beautifly,Bug;Flying,60,70,50,3
268,Cascoon,Bug;,50,35,55,3
400,Bibarel,Normal;Water,79,85,60,4
269,Dustox,Bug;Poison,60,50,70,3
398,Staraptor,Normal;Flying,85,120,70,4
270,Lotad,Water;Grass,40,30,30,3
327,Spinda,Normal;,60,60,60,3
271,Lombre,Water;Grass,60,50,50,3
272,Ludicolo,Water;Grass,80,70,70,3
253,Grovyle,Grass;,50,65,45,3
466,Electivire,Electric;,75,123,67,4
273,Seedot,Grass;,40,40,50,3
274,Nuzleaf,Grass;Dark,70,70,40,3
31,Nidoqueen,Poison;Ground,90,92,87,1
275,Shiftry,Grass;Dark,90,100,60,3
276,Taillow,Normal;Flying,40,55,30,3
277,Swellow,Normal;Flying,60,85,60,3
2,Ivysaur,Grass;Poison,60,62,63,1
278,Wingull,Water;Flying,40,30,30,3
279,Pelipper,Water;Flying,60,50,100,3
280,Ralts,Psychic;Fairy,28,25,25,3
281,Kirlia,Psychic;Fairy,38,35,35,3
282,Gardevoir,Psychic;Fairy,68,65,65,3
283,Surskit,Bug;Water,40,30,32,3
284,Masquerain,Bug;Flying,70,60,62,3
285,Shroomish,Grass;,60,40,60,3
286,Breloom,Grass;Fighting,60,130,80,3
287,Slakoth,Normal;,60,60,60,3
288,Vigoroth,Normal;,80,80,80,3
289,Slaking,Normal;,150,160,100,3
473,Mamoswine,Ice;Ground,110,130,80,4
290,Nincada,Bug;Ground,31,45,90,3
291,Ninjask,Bug;Flying,61,90,45,3
292,Shedinja,Bug;Ghost,1,90,45,3
293,Whismur,Normal;,64,51,23,3
294,Loudred,Normal;,84,71,43,3
369,Relicanth,Water;Rock,100,90,130,3
498,Tepig,Fire;,65,63,45,5
295,Exploud,Normal;,104,91,63,3
296,Makuhita,Fighting;,72,60,30,3
297,Hariyama,Fighting;,144,120,60,3
347,Anorith,Rock;Bug,45,95,50,3
298,Azurill,Normal;Fairy,50,20,40,3
299,Nosepass,Rock;,30,45,135,3
300,Skitty,Normal;,50,45,45,3
152,Chikorita,Grass;,45,49,65,2
301,Delcatty,Normal;,70,65,65,3
303,Mawile,Steel;Fairy,50,85,85,3
133,Eevee,Normal;,55,55,50,1
304,Aron,Steel;Rock,50,70,100,3
305,Lairon,Steel;Rock,60,90,140,3
306,Aggron,Steel;Rock,70,110,180,3
307,Meditite,Fighting;Psychic,30,40,55,3
446,Munchlax,Normal;,135,85,40,4
308,Medicham,Fighting;Psychic,60,60,75,3
309,Electrike,Electric;,40,45,40,3
310,Manectric,Electric;,70,75,60,3
311,Plusle,Electric;,60,50,40,3
312,Minun,Electric;,60,40,50,3
437,Bronzong,Steel;Psychic,67,89,116,4
313,Volbeat,Bug;,65,73,55,3
473,Mamoswine,Ice;Ground,110,130,80,4
312,Minun,Electric;,60,40,50,3
314,Illumise,Bug;,65,47,55,3
315,Roselia,Grass;Poison,50,60,45,3
316,Gulpin,Poison;,70,43,53,3
320,Wailmer,Water;,130,70,35,3
423,Gastrodon,Water;Ground,111,83,68,4
317,Swalot,Poison;,100,73,83,3
318,Carvanha,Water;Dark,45,90,20,3
319,Sharpedo,Water;Dark,70,120,40,3
320,Wailmer,Water;,130,70,35,3
321,Wailord,Water;,170,90,45,3
78,Rapidash,Fire;,65,100,70,1
322,Numel,Fire;Ground,60,60,40,3
323,Camerupt,Fire;Ground,70,100,70,3
549,Lilligant,Grass;,70,60,75,5
324,Torkoal,Fire;,70,85,140,3
325,Spoink,Psychic;,60,25,35,3
326,Grumpig,Psychic;,80,45,65,3
476,Probopass,Rock;Steel,60,55,145,4
327,Spinda,Normal;,60,60,60,3
328,Trapinch,Ground;,45,100,45,3
71,Victreebel,Grass;Poison,80,105,65,1
152,Chikorita,Grass;,45,49,65,2
329,Vibrava,Ground;Dragon,50,70,50,3
211,Qwilfish,Water;Poison,65,95,75,2
